"FSC.A","sample_type","diameter","replicate"
37923.2305,"beads",10,"FC-PT79"
41483.168,"beads",10,"FC-PT79"
40959.8984,"beads",10,"FC-PT79"
40389.0586,"beads",10,"FC-PT79"
39968.0273,"beads",10,"FC-PT79"
38653.8203,"beads",10,"FC-PT79"
40145.5273,"beads",10,"FC-PT79"
41664.2188,"beads",10,"FC-PT79"
41224.0195,"beads",10,"FC-PT79"
37591.6602,"beads",10,"FC-PT79"
39313.4102,"beads",10,"FC-PT79"
39494.457,"beads",10,"FC-PT79"
41236.0898,"beads",10,"FC-PT79"
39346.0703,"beads",10,"FC-PT79"
40647.5,"beads",10,"FC-PT79"
39320.5078,"beads",10,"FC-PT79"
41127.457,"beads",10,"FC-PT79"
41485.2969,"beads",10,"FC-PT79"
40666.668,"beads",10,"FC-PT79"
37956.5977,"beads",10,"FC-PT79"
39760.707,"beads",10,"FC-PT79"
38639.6172,"beads",10,"FC-PT79"
41737.3477,"beads",10,"FC-PT79"
38291.7188,"beads",10,"FC-PT79"
39564.0391,"beads",10,"FC-PT79"
38585.6602,"beads",10,"FC-PT79"
39889.9297,"beads",10,"FC-PT79"
40225.7578,"beads",10,"FC-PT79"
41417.1406,"beads",10,"FC-PT79"
38862.5586,"beads",10,"FC-PT79"
41583.2773,"beads",10,"FC-PT79"
39810.4102,"beads",10,"FC-PT79"
38470.6406,"beads",10,"FC-PT79"
38828.4805,"beads",10,"FC-PT79"
38763.1602,"beads",10,"FC-PT79"
40301.0195,"beads",10,"FC-PT79"
37686.0898,"beads",10,"FC-PT79"
39058.5195,"beads",10,"FC-PT79"
40399.707,"beads",10,"FC-PT79"
39769.2305,"beads",10,"FC-PT79"
40761.0977,"beads",10,"FC-PT79"
38753.9297,"beads",10,"FC-PT79"
38685.0586,"beads",10,"FC-PT79"
37916.8398,"beads",10,"FC-PT79"
41370.9883,"beads",10,"FC-PT79"
39662.7305,"beads",10,"FC-PT79"
40222.207,"beads",10,"FC-PT79"
39686.8672,"beads",10,"FC-PT79"
39405.707,"beads",10,"FC-PT79"
39732.3086,"beads",10,"FC-PT79"
38961.957,"beads",10,"FC-PT79"
41633.6875,"beads",10,"FC-PT79"
41909.8789,"beads",10,"FC-PT79"
41149.4688,"beads",10,"FC-PT79"
38513.2383,"beads",10,"FC-PT79"
39334,"beads",10,"FC-PT79"
39228.918,"beads",10,"FC-PT79"
38067.3594,"beads",10,"FC-PT79"
39748.6406,"beads",10,"FC-PT79"
39598.8281,"beads",10,"FC-PT79"
39733.0195,"beads",10,"FC-PT79"
40524.668,"beads",10,"FC-PT79"
40195.9375,"beads",10,"FC-PT79"
42151.2773,"beads",10,"FC-PT79"
40864.0469,"beads",10,"FC-PT79"
38692.8672,"beads",10,"FC-PT79"
40538.1602,"beads",10,"FC-PT79"
39254.4805,"beads",10,"FC-PT79"
40543.1289,"beads",10,"FC-PT79"
40044,"beads",10,"FC-PT79"
39915.4883,"beads",10,"FC-PT79"
39870.0469,"beads",10,"FC-PT79"
