"cell_type","replicate","stim_type","stim_level","stim_unit","time","merged_nuclei","nuclearity","response"
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5194
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4481
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6795
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.1064
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3642
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2419
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5706
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.4954
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4766
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3737
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5247
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4154
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7325
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.9364
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5831
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.0761
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.884
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",3.3268
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4224
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.7908
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3892
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8095
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6284
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",2.321
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8008
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3472
